1password 8.12.34-36
1password-cli 2.39.0-1
aether 4.29.8-1
asdcontrol 1:0.6.0-2
cliamp 2.0.1-1
gpu-screen-recorder 5.12.3-2
herdr 0.8.2-1
hyprland-preview-share-picker 0.2.1-1
limine-mkinitcpio-hook 1.38.0-1.1
limine-snapper-sync 1.31.0-1.1
localsend 1.18.2-1
mise-bin 2026.9.1-1
omacalc 0.2.2-1
omacut 0.4.0-1
omarchy 4.0.3-1
omarchy-keyring 20251027-1
omarchy-nvim 2026.8.13-1
omarchy-settings 4.0.3-1
omawrite 0.5.0-1
pinta 3.1.2-1
spotify 1:1.2.96.518-2
tensaku 0.29.0-1
tobi-try 1.8.1-3
ttf-ia-writer 20181225-1
ttf-jetbrains-mono-nerd-basic 3.5.1-1
ttfx 0.3.2-1
typora 1.14.9-1
tzupdate 3.1.0-1
ufw-docker 251123-1
walker 2.17.0-1
xdg-terminal-exec 0.14.3-1
yaru-icon-theme 26.04.5.1ubuntu-1
yay 13.0.1-1
